"id","address","size","type","rent","rentalAgreement","dateOfFree","waterPrice","link","added_timestamp","available","removed_timestamp","buildingYear","floor","buildingCondition","layout","roomNumbers","buildingAmeneties","possibleDuplicateFlag","costDescription","housingCooperative","energyClass","lessor","renovations","balcony","description","search_city","lon","lat","size1"
"4445","Kauppapuistikko 29, 65100 Vaasa","23","Kerrostalo","1006","","Heti vapaa","","https://asunnot.oikotie.fi/vuokrattavat-asunnot/vaasa/14987444","2019-07-22 20:19:26","Yes",NA,NA,"3 / 5","Tyydyttävä","1h+ak+kph","1",NA,"0","","","","","","",NA,"Vaasa",21.6198559,63.0917466,23
"4455","Raastuvankatu 46, 65100 Vaasa","76","Kerrostalo","1717","","31.07.2019","","https://asunnot.oikotie.fi/vuokrattavat-asunnot/vaasa/14987452","2019-07-22 20:18:57","Yes",NA,NA,"3","Tyydyttävä","3h+k+kph+wc+p","3",NA,"0","","","","","","",NA,"Vaasa",21.6159865,63.0914957,76
"4463","Koulukatu 32, 65100 Vaasa","26","Kerrostalo","1006","","Heti vapaa","","https://asunnot.oikotie.fi/vuokrattavat-asunnot/vaasa/14987445","2019-07-22 20:19:21","Yes",NA,NA,"3 / 4","Tyydyttävä","1h+kk+kph","1",NA,"0","","","","","","",NA,"Vaasa",21.6081242,63.0929672,26
"6543","Kauppapuistikko 29, 65100 Vaasa","34","Kerrostalo","1070","","Heti vapaa","","https://asunnot.oikotie.fi/vuokrattavat-asunnot/vaasa/14987447","2019-07-22 20:19:16","Yes",NA,NA,"2 / 5","Tyydyttävä","1h+ak+kph","1",NA,"0","","","","","","",NA,"Vaasa",21.6198559,63.0917466,34
"7806","Vaasanpuistikko 6, 65100 Vaasa","27","Kerrostalo","1081","","Heti vapaa","","https://asunnot.oikotie.fi/vuokrattavat-asunnot/vaasa/14987666","2019-07-22 20:18:52","Yes",NA,NA,"4","Hyvä","1h+k+kph+p","1",NA,"0","","","","","","",NA,"Vaasa",21.6082351,63.0934183,27
"12268","Hietalahdenkatu 39, 65100 Vaasa","43","Kerrostalo","1304","","Heti vapaa","","https://asunnot.oikotie.fi/vuokrattavat-asunnot/vaasa/14987448","2019-07-22 20:19:08","Yes",NA,NA,"2","Tyydyttävä","2h+k+wc","2",NA,"0","","","","","","",NA,"Vaasa",21.6308868,63.0892822,43
"12637","Kirkkopuistikko 4, 65100 Vaasa","30","Kerrostalo","1236","","Heti vapaa","","https://asunnot.oikotie.fi/vuokrattavat-asunnot/vaasa/14987671","2019-07-22 20:18:25","Yes",NA,NA,"3 / 4","Hyvä","1h+kk+wc","1",NA,"0","","","","","","",NA,"Vaasa",21.6052783,63.100053,30
"12638","Kirkkopuistikko 4, 65100 Vaasa","23","Kerrostalo","1169","","Heti vapaa","","https://asunnot.oikotie.fi/vuokrattavat-asunnot/vaasa/14987669","2019-07-22 20:18:36","Yes",NA,NA,"3 / 4","Hyvä","1h+kk+wc","1",NA,"0","","","","","","",NA,"Vaasa",21.6052783,63.100053,23
"12647","Kirkkopuistikko 4, 65100 Vaasa","21","Kerrostalo","1169","","Heti vapaa","","https://asunnot.oikotie.fi/vuokrattavat-asunnot/vaasa/14987670","2019-07-22 20:18:30","Yes",NA,NA,"3 / 4","Hyvä","1h+kk+wc","1",NA,"0","","","","","","",NA,"Vaasa",21.6052783,63.100053,21
"12648","Kirkkopuistikko 4, 65100 Vaasa","25","Kerrostalo","1236","","Heti vapaa","","https://asunnot.oikotie.fi/vuokrattavat-asunnot/vaasa/14987667","2019-07-22 20:18:47","Yes",NA,NA,"3 / 4","Hyvä","1h+kk+wc","1",NA,"0","","","","","","",NA,"Vaasa",21.6052783,63.100053,25
